Award Date,Quarter and Fiscal Year,Commodity Category,Contract Description,WBG Organization,Selection Number,Supplier,Supplier Country,Supplier Country Code,Contract Award Amount,Fund Source,VPU description
01/30/2014 12:00:00 AM,Q3 - FY14,CONTRACT CONSULTANTS,Africa 2014 Enterprise Surveys,IBRD,1116785,TNS opinion SA,Belgium,BE,299532.54,WBG,Development Economics and Chief Economist
01/29/2014 12:00:00 AM,Q3 - FY14,CONTRACT CONSULTANTS,Consulting Services - Technical support to DPHE for effective implementation of BRWSSP in General and RPWS and Non-Piped Water Supply Components in Particular in Line with Results Framework of SS-DPSP,IBRD,1118854,Dev Consultants Ltd.,Bangladesh,BD,513875.78,TRUST FUND,Sustainable Development Network
01/29/2014 12:00:00 AM,Q3 - FY14,CONTRACT CONSULTANTS,Information Technology Service Catalog,IBRD,14-0171,"Third Sky, Inc.",USA,US,394572.00,WBG,Information and Technology Solutions
01/28/2014 12:00:00 AM,Q3 - FY14,CONTRACT CONSULTANTS,"Study to design & implement an interconnection framework within Economic Community of Central African States, Consultant Services",IBRD,1122147,Artelia Ville et Transport,France,FR,259965.00,TRUST FUND,"GP- CCSA, Vice Presidency"
01/27/2014 12:00:00 AM,Q3 - FY14,CONTRACT CONSULTANTS,Guidance on Incorporating the Ecosystem Service Values of Mangroves and Coral Reefs in National Wealth Accounting,IBRD,1118879,The Nature Conservancy,USA,US,373750.00,TRUST FUND,"GP- CCSA, Vice Presidency"
01/23/2014 12:00:00 AM,Q3 - FY14,CONTRACT CONSULTANTS,Capacity building of sanitation entrepreneurs and the Department of Public Health and Engineering (DPHE) officials of Bangladesh Rural Water Supply and Sanitation Project(BRWSSP),IBRD,1118430,Intl Development Enterprise,Bangladesh,BD,365539.30,TRUST FUND,"GP- CCSA, Vice Presidency"
01/23/2014 12:00:00 AM,Q3 - FY14,AUDIO VISUALS,Audio Visual Conference Equipment Upgrade (room MC10-850),IBRD,14-0288,Signal Perfection Ltd.,USA,US,296812.48,WBG,General Services
01/23/2014 12:00:00 AM,Q3 - FY14,CONTRACT CONSULTANTS,East Asia and Pacific 2014 Enterprise Surveys,IBRD,1120730,Mekong Economics Ltd.,Vietnam,VN,627830.00,WBG,Development Economics and Chief Economist-IFC
01/16/2014 12:00:00 AM,Q3 - FY14,CONTRACT CONSULTANTS,Cote dIvoire and Ghana Authorized Economic Operator Project,IBRD,1116722,Deloitte Conseil SAS,France,FR,499920.00,TRUST FUND,"GP- CCSA, Vice Presidency"
01/15/2014 12:00:00 AM,Q3 - FY14,CONTRACT CONSULTANTS,Panama Air Logistics Strategy,IBRD,1124853,"Advanced Logistics Group, S.A.",Spain,ES,334345.00,TRUST FUND,"GP- CCSA, Vice Presidency"
01/15/2014 12:00:00 AM,Q3 - FY14,CONTRACT CONSULTANTS,Consulting Services - Execution of the International Finance Corporation Lighting Global product Quality Assurance Program and transition to private sector,IFC,1130247,Humboldt State University Sponsored Programs Foundation,USA,US,1600000.00,TRUST FUND,"Office VP, Bus. Adv. Services "
01/14/2014 12:00:00 AM,Q3 - FY14,CONTRACT CONSULTANTS,Malawi Mobile Phone Surveys,IBRD,1129488,National Statistical Office of Malawi,Malawi,MW,497136.00,TRUST FUND,"GP- CCSA, Vice Presidency"
01/14/2014 12:00:00 AM,Q3 - FY14,CONTRACT CONSULTANTS,Mozambique Service Delivery Indicators Survey,IBRD,1126671,COWI AS,Denmark,DK,539389.26,TRUST FUND,Africa
01/10/2014 12:00:00 AM,Q3 - FY14,CONTRACT CONSULTANTS,Municipal Own Source Revenues and Expenditure Management Enhancement,IBRD,1099683,VNG Intl U.A.,Netherlands,NL,349997.00,TRUST FUND,"GP- CCSA, Vice Presidency"
01/10/2014 12:00:00 AM,Q3 - FY14,EXTRNL/CATERED EVENT,"South -South Learning Forum, Conference Services.",IBRD,14-0180,Windsor Atlantica Hotel,Brazil,BR,332214.87,WBG,Human Development Network
01/06/2014 12:00:00 AM,Q3 - FY14,CONTRACT CONSULTANTS,LABOR AUGMENTATION SERVICES TANZANIA,IBRD,14-0062,Erolink Limited,Tanzania,TZ,315000.00,WBG,"GP- CCSA, Vice Presidency"
01/01/2014 12:00:00 AM,Q3 - FY14,CONTRACT CONSULTANTS,"Framework Agreement with International Experts in ICTs for WBG analytical and operational work, e-Government and emerging ICT supported citizen participation and social accountability approaches",IBRD,1085806,Atos Consulting,USA,US,,TRUST FUND,"GP- CCSA, Vice Presidency"
01/27/2015 12:00:00 AM,Q3 - FY15,CONSULTING,PPP Knowledge Hub,IBRD,1162155,Bivee Inc.,USA,US,267000.00,Trust Fund,"GP- CCSA, Vice Presidency"
02/09/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Benin PFR Impact Evaluation Survey,IBRD,1171487,IREEP,Benin,BJ,340193.00,WBG,"GP- CCSA, Vice Presidency"
03/11/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Data collection services for Tuungane,IBRD,1174061,Experts SARL,Congo,CG,335217.00,Trust Fund,Development Economics and Chief Economist
01/28/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Support to Vietnam 2035 Report,IBRD,1170446,Development Strategy Institute,Vietnam,VN,256934.00,Trust Fund,East Asia and Pacific
01/07/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Development of Hazard Screening Tool,IBRD,1157640,BRGM,France,FR,749972.00,Trust Fund,WBG Climate Change VP
02/16/2015 12:00:00 AM,Q3 - FY15,CONSULTING,TRADE FACILITATION SUPPORT PROGRAM,IFC,1152718,Centre for Customs & Excise Studies,Australia,AU,466180.00,Trust Fund,"GP- CCSA, Vice Presidency"
03/24/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Implementation Support Consultant-Odisha,IFC,1129287,PricewaterhouseCoopers Pvt Ltd.,India,IN,321790.00,Trust Fund,"GP- CCSA, Vice Presidency"
03/27/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Managing Water Use in Scarce Environment,IFC,1171461,Ove Arup & Partners International,United Kingdom,GB,291769.00,Trust Fund,IFC Business Advisory Services
01/07/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Identification of Gas Market Development,IBRD,1160682,Mott MacDonald Limited,United Kingdom,GB,400000.00,Trust Fund,"GP- CCSA, Vice Presidency"
01/12/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Gabon: ID of Gas Market Development,IBRD,1162685,Carbon Limits AS,Norway,NO,391000.00,Trust Fund,"GP- CCSA, Vice Presidency"
01/13/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Identification of Gas Market Development,IBRD,1162678,Nexant Ltd,United Kingdom,GB,433330.00,Trust Fund,"GP- CCSA, Vice Presidency"
01/27/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Guinea - Energy Sector M&E,IBRD,1142422,Econoler International Inc.,Canada,CA,395785.00,Trust Fund,"GP- CCSA, Vice Presidency"
02/18/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Scoping and Design of IT Systems Upgrade,IBRD,1163472,"Indra Philippines, Inc.",Philippines,PH,265764.00,Trust Fund,"GP- CCSA, Vice Presidency"
03/04/2015 12:00:00 AM,Q3 - FY15,CONSULTING,BIOMASS-BASED HEATING:WESTERN BALKANS,IBRD,1134643,Tractebel Engineering Spa,Italy,IT,678845.00,Trust Fund,"GP- CCSA, Vice Presidency"
03/06/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Burundi Distribn. Network Expansion Plan,IBRD,1146843,TRACTEBEL,Belgium,BE,461244.00,Trust Fund,"GP- CCSA, Vice Presidency"
03/10/2015 12:00:00 AM,Q3 - FY15,CONSULTING,MADAGASCAR REFORM OF THE HYDROCARBONS AN,IBRD,1168274,Adam Smith International Ltd.,United Kingdom,GB,334423.00,Trust Fund,"GP- CCSA, Vice Presidency"
03/18/2015 12:00:00 AM,Q3 - FY15,CONSULTING,STEP Skills Measurement Research Study,IBRD,1163545,Etude Economique Conseil (EEC),Canada,CA,299950.00,Trust Fund,"GP- CCSA, Vice Presidency"
02/27/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Leadership Program for World Bank Group,IBRD,1165872,Center for Creative Leadership,USA,US,422000.00,WBG,"Budget, Performance Review and Strategic Planning"
02/19/2015 12:00:00 AM,Q3 - FY15,External Meetings (non-staff),Hotel Accomodations & Event,IFC,WBG10088431,Hyatt Regegency Chesapeake,USA,US,401078.00,Trust Fund,"Glb Client Services, Off of VP"
02/04/2015 12:00:00 AM,Q3 - FY15,PUBLISHING,Global Citizen 2015 Earth Day,IBRD,15-0298,Earth Day Network,USA,US,250000.00,WBG,WBG External and Corporate Relations
01/18/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Strengthening EITI Implementation,IBRD,1163441,Natural Resource Governance ,USA,US,1498262.00,Trust Fund,"GP- CCSA, Vice Presidency"
01/15/2015 12:00:00 AM,Q3 - FY15,SOFTWARE,"Power Planning Software, training",IBRD,15-0035,PSR Solucoes e Consultoria ,USA,US,500000.00,WBG,"GP- CCSA, Vice Presidency"
03/30/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Follow up  BG data collection,IBRD,1176269,Foundation Open Society Institute,Bulgaria,BG,327200.00,Trust Fund,"GP- CCSA, Vice Presidency"
02/03/2015 12:00:00 AM,Q3 - FY15,CONSULTING,MZ-Maputo Municipal Development Prog II,IBRD,1141079,ENAIP,Italy,IT,271200.00,WBG,"GP- CCSA, Vice Presidency"
03/18/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Consultant Services for the Development,IBRD,1167094,CRISIL Risk and Infrastructure,India,IN,275400.00,Trust Fund,"GP- CCSA, Vice Presidency"
03/18/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Procuring Technical Resources for HOPE S,IFC,1134537,Mindgate Solutions Pvt Ltd,India,IN,333554.00,Trust Fund,"GP- CCSA, Vice Presidency"
01/23/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Technical Assistance for Identification,IBRD,1158190,Castalia Ltd,New Zealand,NZ,385000.00,Trust Fund,"GP- CCSA, Vice Presidency"
01/29/2015 12:00:00 AM,Q3 - FY15,CONSULTING,HH Survey to assess hygiene and behavior,IBRD,1156335,Swiss Tropical and Public Health,Switzerland,CH,298950.00,Trust Fund,"GP- CCSA, Vice Presidency"
01/30/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Relaunched - Tunisia: Financial Equilibr,IBRD,1165580,NODALIS CONSEIL,France,FR,558985.00,Trust Fund,"GP- CCSA, Vice Presidency"
01/28/2015 12:00:00 AM,Q3 - FY15,CONSULTING,OPERATIONAL AND MAINTENANCE SUPPORT SERV,IBRD,1166586,PT. Quadra Solution,Indonesia,ID,280000.00,Trust Fund,"GP- CCSA, Vice Presidency"
02/16/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Consultancy Services on Developing SPAN,IBRD,1158640,PT Ernst and Young Indonesia (EYI),Indonesia,ID,256080.00,Trust Fund,"GP- CCSA, Vice Presidency"
03/18/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Review of Lessons learned from Experienc,IBRD,1172914,FAO,Italy,IT,262722.00,Trust Fund,"GP- CCSA, Vice Presidency"
01/12/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Zimbabwe HIV Prevention,IBRD,1166473,Erasmus University Rotterdam,Netherlands,NL,307241.00,Trust Fund,"GP- CCSA, Vice Presidency"
01/23/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Support to the GFF Business Plan,IBRD,1166121,SEEK Development,Germany,DE,396884.00,WBG,"GP- CCSA, Vice Presidency"
02/24/2015 12:00:00 AM,Q3 - FY15,CONSULTING,DRC Impact Evaluation,IBRD,1160029,Medecins d'afrique rd Congo,"Congo, Dem Rep",ZR,949995.00,Trust Fund,"GP- CCSA, Vice Presidency"
01/14/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Training to Microfinance Institutions in,IFC,1139676,EDA RURAL SYSTEMS PRIVATE LIMITED,India,IN,440950.00,Trust Fund,"GP- CCSA, Vice Presidency"
01/28/2015 12:00:00 AM,Q3 - FY15,CONSULTING,"Lighting Africa, Nigeria",IFC,1156030,EXP Marketing Nigeria Ltd,Nigeria,NG,349859.00,Trust Fund,IFC VP Global Client Services
02/18/2015 12:00:00 AM,Q3 - FY15,CONSULTING,L/Africa Ethiopia: ATL,IFC,1156185,"Zeleman Communication, Advertising",Ethiopia,ET,384677.00,Trust Fund,IFC VP Global Client Services
02/25/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Lighting Africa Ethiopia BTL: Phase 1,IFC,1156181,"Zeleman Communication, Advertising",Ethiopia,ET,371516.00,Trust Fund,IFC VP Global Client Services
01/12/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Support to Public Enterprise EPS,IFC,1158242,AF-Mercados Energy Markets International,Spain,ES,266580.00,Trust Fund,IFC VP Global Client Services
01/14/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Belgrade Municipal Waste Treatment and D,IFC,1159605,Fichtner GmbH and Co. KG,Germany,DE,330744.00,Trust Fund,IFC VP Global Client Services
03/09/2015 12:00:00 AM,Q3 - FY15,CONSULTING,SIPRA Advisory - Productivity Improvement,IBRD,1164764,Australian Agricultural Nutrition,Australia,AU,267330.00,Trust Fund,IFC Business Advisory Services
02/25/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Organizational support,IBRD,1154318,Enterprise Hub Limited,"Trinidad,Tobago",TT,497325.00,Trust Fund,IFC Business Advisory Services
01/01/2015 12:00:00 AM,Q3 - FY15,MEDICAL,Pharmacy Benefit Administration,IBRD,15-0011,CaremarkPCS Health LLC,USA,US,,WBG,WBG HR Vice President
03/23/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Content-Driven Educational and Advocacy,IBRD,1174190,"Global Poverty Project, Inc.",USA,US,250000.00,Trust Fund,"GP- CCSA, Vice Presidency"
03/19/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Ghana: Land Tenure Security,IBRD,1170857,Innovations for Poverty Action,USA,US,285980.00,Trust Fund,"GP- CCSA, Vice Presidency"
03/09/2015 12:00:00 AM,Q3 - FY15,CONSULTING,SME Finance Forum Membership Supports,IFC,1172212,CapitalPlus Exchange Corporation,USA,US,809865.00,Trust Fund,"GP- CCSA, Vice Presidency"
01/12/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Risk Assessment,IBRD,1156541,AIR Worldwide Corporation,USA,US,674900.00,Trust Fund,"GP- CCSA, Vice Presidency"
01/30/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Kampala- Jinja Expressway PPP Project: C,IFC,1162539,MAAD Ltd,Uganda,UG,261879.00,Trust Fund,IFC Business Advisory Services
02/03/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Zanzibar Power Distribution PSP - Techni,IFC,1165597,ESBI Engineering and Facility,Ireland,IE,259781.00,Trust Fund,IFC Business Advisory Services
01/27/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Agent Quality Management Services - Airt,IFC,1162415,Top Image,Kenya,KE,440032.00,Trust Fund,"Office of the EVP and CEO, IFC"
01/28/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Mobile Network Operator- Airtel Uganda,IFC,1160908,Ipsos Ltd,Uganda,UG,279730.00,Trust Fund,"Office of the EVP and CEO, IFC"
02/24/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Business Model Innovations to BoP,IBRD,1167597,Endeva UG,Germany,DE,274138.00,WBG,"Leadership, Learning & Innovation, Vice Presidency"
03/30/2015 12:00:00 AM,Q3 - FY15,External Meetings (non-staff),Hotel Accomodations & Event,IBRD,WBG1009467,"Omni Shoreham Washington, DC",USA,US,487701.00,Trust Fund,"GP- CCSA, Vice Presidency"
03/25/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Deal Management System for IFC,IFC,1170078,"Oliver Wyman, Inc.",USA,US,300000.00,WBG,"Office of the EVP and CEO, IFC"
03/09/2015 12:00:00 AM,Q3 - FY15,CONSULTING,NP: Renewable Energy Resource Ma,IBRD,1163825,Technical University of Denmark,USA,US,,Trust Fund,"GP- CCSA, Vice Presidency"
03/01/2015 12:00:00 AM,Q3 - FY15,LANGUAGE SERVICES,Court Reporting & Transcription,IBRD,14-0333,"Frederick Weiss & Associates,",USA,US,,WBG,Corporate Secretariat
03/01/2015 12:00:00 AM,Q3 - FY15,LANGUAGE SERVICES,Court Reporting & Transcription,IBRD,14-0333,Soft Scribe LLC,USA,US,,WBG,Corporate Secretariat
03/01/2015 12:00:00 AM,Q3 - FY15,LANGUAGE SERVICES,Court Reporting & Transcription,IBRD,14-0333,Pacific Solutions Pty Ltd,USA,US,,WBG,Corporate Secretariat
03/01/2015 12:00:00 AM,Q3 - FY15,LANGUAGE SERVICES,Court Reporting & Transcription,IBRD,14-0333,"NEAL R. GROSS & CO., INC.",USA,US,,WBG,Corporate Secretariat
03/01/2015 12:00:00 AM,Q3 - FY15,LANGUAGE SERVICES,Court Reporting & Transcription,IBRD,14-0333,European Deposition Services,USA,US,,WBG,Corporate Secretariat
03/01/2015 12:00:00 AM,Q3 - FY15,LANGUAGE SERVICES,Court Reporting & Transcription,IBRD,14-0333,D. R. Esteno,USA,US,,WBG,Corporate Secretariat
03/01/2015 12:00:00 AM,Q3 - FY15,LANGUAGE SERVICES,Court Reporting & Transcription,IBRD,14-0333,"Briggle & Bott, Court Reporter",USA,US,,WBG,Corporate Secretariat
03/01/2015 12:00:00 AM,Q3 - FY15,LANGUAGE SERVICES,Court Reporting & Transcription,IBRD,14-0333,Anderson Court Reporting LLC,USA,US,,WBG,Corporate Secretariat
03/01/2015 12:00:00 AM,Q3 - FY15,LANGUAGE SERVICES,Court Reporting & Transcription,IBRD,14-0333,Alderson Reporting,USA,US,,WBG,Corporate Secretariat
03/01/2015 12:00:00 AM,Q3 - FY15,CONSULTING,DCED Secretariat,IFC,1157249,Jim Tanburn and Associates Ltd,USA,US,1294500.00,Trust Fund,IFC Business Advisory Services
02/26/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Renewable Energy Resource Mapping,IBRD,1161494,3 E,USA,US,,Trust Fund,"GP- CCSA, Vice Presidency"
02/19/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Consultants Fees,IFC,1167229,A2F Consulting LLC,USA,US,288600.00,Trust Fund,"Office of the EVP and CEO, IFC"
02/04/2015 12:00:00 AM,Q3 - FY15,SOFTWARE,LMS Cloud Service,IBRD,15-0063,Saba Software,USA,US,700000.00,WBG,Information and Technology Solutions
01/30/2015 12:00:00 AM,Q3 - FY15,SOFTWARE,TOAD FOR ORACLE LICENSE AND MAIN,IBRD,15-0295,DLT Solutions,USA,US,,WBG,Information and Technology Solutions
01/21/2015 12:00:00 AM,Q3 - FY15,SOFTWARE,ArcGIS Licenses,IBRD,14-0647,Environmental Systems Research,USA,US,,WBG,Information and Technology Solutions
01/01/2015 12:00:00 AM,Q3 - FY15,MISCELLANEOUS,CO Life Insurance PGM,IBRD,15-0215,Cigna International Health Ser,USA,US,,WBG,WBG HR Vice President
01/01/2015 12:00:00 AM,Q3 - FY15,SOFTWARE,Educational game development ser,IBRD,15-0107,Emerson College,USA,US,300000.00,WBG,"Leadership, Learning & Innovation, Vice Presidency"
03/19/2015 12:00:00 AM,Q3 - FY15,CONSULTING,KWT SME TA-Entrepreneurship Culture Dev,IBRD,1174484,Wamda Ventures JLT,United Arab Emirates,AE,488000.00,WBG,"GP- CCSA, Vice Presidency"
03/01/2015 12:00:00 AM,Q3 - FY15,LANGUAGE SERVICES,Court Reporting & Transcription,IBRD,14-0333,TransPerfect Translations Inte,USA,US,,WBG,Corporate Secretariat
01/30/2015 12:00:00 AM,Q3 - FY15,SOFTWARE,"MarkLogic Software License, Main",IBRD,15-0306,MarkLogic Corporation,USA,US,,WBG,Information and Technology Solutions
01/29/2015 12:00:00 AM,Q3 - FY15,CONSULTING,SIRI Information & Research Initiative,IBRD,1167785,Courage Services Inc.,USA,US,273755.00,Trust Fund,WBG Climate Change VP 
01/26/2015 12:00:00 AM,Q3 - FY15,CONSULTING,Impact Evaluation for the Global Facility,IBRD,1158900,"ICF Incorporated, LLC",USA,US,399943.00,Trust Fund,WBG Climate Change VP 
01/14/2015 12:00:00 AM,Q3 - FY15,CONSULTING,DESIGN AND INTRAPRENEURSHIP,IBRD,1153834,Design Continuum Inc.,USA,US,334950.00,Trust Fund,"GP- CCSA, Vice Presidency"
03/24/2015 12:00:00 AM,Q3 - FY15,GENERAL BUILDING,IFC Coffee Bar Relocation,IFC,15-0302,Donohoe Construction Company,USA,US,313299.00,,"Office of the EVP and CEO, IFC"
03/01/2016 12:00:00 AM,Q3 - FY16,MISCELLANEOUS SRVCS,"DRIVERS SERVICES - DHAKA, BANGLADESH",IBRD,16-0099,Smart Services Limited,USA,US,648790.77,WBG,South Asia Regional Office
03/08/2016 12:00:00 AM,Q3 - FY16,FURNITURE,N.A,IBRD,N.A,HAWORTH SINGAPORE PTE LTD,Singapore,SG,,WBG,Budget Performance Review Strategic Plan 
01/24/2016 12:00:00 AM,Q3 - FY16,SOFTWARE,INTEGRATED INSPECTION MANAGEMENT SYSTEM FOR JORDANIAN INSPECTORATES,IBRD,15-0171,Accela Inc,USA,US,1646493.81,Trust Fund,"VP,EFI Practice Group"
02/22/2016 12:00:00 AM,Q3 - FY16,CONSULTING,Implementation of GOFC-GOLD training materials for REDD+ monitoring and reporting,IBRD,1213436,Wageningen University,Netherlands,NL,317400.00,Trust Fund,WBG Climate Change 
02/26/2016 12:00:00 AM,Q3 - FY16,CONSULTING,Ethiopia and Sierra Leone - Commercial Plantation Forestry Industry Investment Plan studies,IFC,1206816,Indufor Oy,Finland,FI,319416.00,Trust Fund,Global Client Services
02/11/2016 12:00:00 AM,Q3 - FY16,CONSULTING,Tackling Childcare: Substantiating the Business Case for Private Sector-supported Childcare in Emerging Markets,IFC,1202118,Institute for Women's Policy Research,USA,US,292849.00,Trust Fund,Gender - Cross Cutting Solution Area
02/09/2016 12:00:00 AM,Q3 - FY16,CONSULTING,Financial Consultant for CIFF Establishment and Operation for the Proposed Vietnam - City Infrastructure Financing Facility Project,IBRD,1204770,CRISIL Risk and Infrastructure,India,IN,405070.00,Trust Fund,East Asia & Pacific Regional Office
02/10/2016 12:00:00 AM,Q3 - FY16,EXTRNL/CATERED EVENT,LOGISTICS FOR FRTAP COURSES,IBRD,16-0275,Holiday Travel Sp. z o.o.,Poland,PL,389173.05,WBG,"VP,EFI Practice Group"
02/03/2016 12:00:00 AM,Q3 - FY16,CONSULTING,"Private health markets analysis in East Asia: Vietnam, Cambodia, Indonesia, Myanmar and the Philippines",IFC,1201450,PricewaterhouseCoopers Public Secto,USA,US,553128.00,Trust Fund,Global Client Services
01/24/2016 12:00:00 AM,Q3 - FY16,CONSULTING,ESCOM Malawi: Tax Health Check and Tax Training,IBRD,1198000,Ernst & Young Malawi,Malawi,MW,381202.46,Trust Fund,"VP,SD Practice Group"
02/23/2016 12:00:00 AM,Q3 - FY16,CONSULTING,Impact Evaluation - Data Collection - Midwives & PHCs Nigeria,IBRD,1203857,Hanovia Medical Ltd,Nigeria,NG,311034.35,Trust Fund,Development Economics and Chief Economist
01/24/2016 12:00:00 AM,Q3 - FY16,CONSULTING,Sounda Gorge Hydroelectric Project - Market Consultant,IFC,1136270,Castalia Ltd,USA,US,445765.00,Trust Fund,Global Client Services
03/21/2016 12:00:00 AM,Q3 - FY16,SOFTWARE,New Software Licenses & Implementation,IBRD,16-0112,Planview Inc,USA,US,550000.00,WBG,WBG Information and Technology Solutions
02/25/2016 12:00:00 AM,Q3 - FY16,CONSULTING,Advertising Agency for the Development of Sanitation and Hygiene Behavior Change Communication Campaign,IBRD,1200082,ID Media JSC,Vietnam,VN,313491.88,Trust Fund,"VP,SD Practice Group"
03/15/2016 12:00:00 AM,Q3 - FY16,CONSULTING,Firm for Peace and Conflict Study in Myanmar,IBRD,1212491,The Asia Foundation,USA,US,500000.00,Trust Fund,"VP,SD Practice Group"
01/04/2016 12:00:00 AM,Q3 - FY16,AUDIO VISUAL,AUDIO VISUAL EQUIPMENT PURCHASE,IBRD,15-0506,"AV3, Inc.",USA,US,,WBG,General Services Department
03/09/2016 12:00:00 AM,Q3 - FY16,CONSULTING,Study on the Economic Impact of the Modern Formal Retail Sector in Emerging Markets,IFC,1207066,Euromonitor International Limited,United Kingdom,GB,286100.00,WBG,Global Client Services
03/04/2016 12:00:00 AM,Q3 - FY16,CONSULTING,Legal Consultant - Dakar BRT,IFC,1209321,Gide Loyrette Nouel,France,FR,449700.00,Trust Fund,Global Client Services
03/03/2016 12:00:00 AM,Q3 - FY16,CONSULTING,Consultant Services for Operationalizing the PASET Regional Scholarship and Innovation Fund Initiative,IBRD,1202135,"Institute of International Education, Inc ",USA,US,253908.00,Trust Fund,"VP,HD Practice Group"
03/09/2016 12:00:00 AM,Q3 - FY16,CONSULTING,Independent Verification Agent (IVA) for the Electricity Access for Low-income Households in Zambia Project,IBRD,1203424,Corporate Solutions Consulting Ltd,United Kingdom,GB,299540.00,Trust Fund,"VP,SD Practice Group"
02/23/2016 12:00:00 AM,Q3 - FY16,CONSULTING,URBAN REVITALIZATION IN INDIA - TECHNICAL ASSISTANCE TO MoUD IN SUPPORT TO HRIDAY,IBRD,1210180,National Institute of Urban Affairs,India,IN,281963.50,Trust Fund,"VP,SD Practice Group"
01/11/2016 12:00:00 AM,Q3 - FY16,CONSULTING,Indonesia Cost of Service and Tariff Structure Study,IBRD,1180325,ECONOMIC CONSULTING ASSOCIATES LTD.,United Kingdom,GB,343500.00,Trust Fund,"VP,SD Practice Group"
02/24/2016 12:00:00 AM,Q3 - FY16,CONSULTING,CGAP V Mid-Term Evaluation,IBRD,1203108,Oxford Policy Management Ltd.,United Kingdom,GB,299985.00,Trust Fund,"VP,EFI Practice Group"
02/17/2016 12:00:00 AM,Q3 - FY16,SOFTWARE,SWIFT ALLIANCE REPLACEMENT,IBRD,15-0515,Bottomline Technologies,USA,US,,WBG,WBG Information and Technology Solutions
02/12/2016 12:00:00 AM,Q3 - FY16,CONSULTING,"Development Of A Water Atlas For The Fouta Djallon Highland, Support For The Validation Of The IWRM Directive In West Africa And The Evaluation Of Basin River Organization Participation In IWRM In W/A",IBRD,1200591,ANTEA FRANCE,France,FR,438550.00,Trust Fund,"VP,SD Practice Group"
02/17/2016 12:00:00 AM,Q3 - FY16,CONSULTING,Comparative Study of the Legal and Institutional Frameworks,IBRD,1209922,University of South Australia,Australia,AU,251620.00,Trust Fund,"VP,SD Practice Group"
02/22/2016 12:00:00 AM,Q3 - FY16,CONSULTING,Scaling up electricity access in DRC,IBRD,1202406,ECONOMIC CONSULTING ASSOCIATES LTD.,United Kingdom,GB,300000.00,Trust Fund,"VP,SD Practice Group"
02/23/2016 12:00:00 AM,Q3 - FY16,CONSULTING,Design of Technical Standards and Specifications for Mini-grid Developers in Tanzania,IFC,1204282,"NRECA International, Ltd.",USA,US,349209.00,Trust Fund,Global Client Services
03/09/2016 12:00:00 AM,Q3 - FY16,CONSULTING,EDGE web application enhancement and maintenance,IFC,1201707,Arrk Ltd,United Kingdom,GB,548500.00,Trust Fund,WBG Climate Change 
01/06/2016 12:00:00 AM,Q3 - FY16,CONSULTING,"To design, facilitate and Co-host a Global Conference on Prosperity,Equality and Sustainability: Strategies and Policies  in New Delhi, India",IBRD,1208648,INSTITUTE FOR HUMAN DEVELOPMENT,India,IN,292491.04,Trust Fund,South Asia Regional Office
03/10/2016 12:00:00 AM,Q3 - FY16,CONSULTING,Consultancy Services for Designing and Development of E-VAT Invoice System,IBRD,1178478,PT. Teknoglobal Multi Sistem Integr,Indonesia,ID,347544.49,Trust Fund,"VP,EFI Practice Group"
